,tf-idf values
ıt,9.684316504452296
history,9.684316504452296
hindsight,9.684316504452296
hiji,9.684316504452296
hij,9.684316504452296
highest,9.684316504452296
supports,9.684316504452296
hiding,9.684316504452296
hi,9.684316504452296
hexadecimal,9.684316504452296
suppress,9.684316504452296
hesaplamak,9.684316504452296
hero,9.684316504452296
herman,9.684316504452296
herkimer,9.684316504452296
henry,9.684316504452296
henpecked,9.684316504452296
hen,9.684316504452296
helping,9.684316504452296
suspicious,9.684316504452296
hee,9.684316504452296
hear,9.684316504452296
header,9.684316504452296
hayranlık,9.684316504452296
hava,9.684316504452296
synchronization,9.684316504452296
hasnext,9.684316504452296
hire,9.684316504452296
hoc,9.684316504452296
hardly,9.684316504452296
horizontal,9.684316504452296
suggestion,9.684316504452296
impact,9.684316504452296
immediately,9.684316504452296
imitate,9.684316504452296
illegally,9.684316504452296
ill,9.684316504452296
ile,9.684316504452296
ii,9.684316504452296
ideo,9.684316504452296
identify,9.684316504452296
suit,9.684316504452296
identification,9.684316504452296
i1j,9.684316504452296
hybrid,9.684316504452296
husband,9.684316504452296
hung,9.684316504452296
humor,9.684316504452296
huge,9.684316504452296
sums,9.684316504452296
